brewing;Brasserie;produire de la bière, du vin et d’autres mixtures.
cartography;Cartographie;tracer et lire des cartes.
natural_lore;Connaissance de la nature;connaître la faune et la flore de Thédas.
cultural_lore;Connaissance des cultures;connaître les traditions et les croyances de diverses cultures.
poison_lore;Connaissance des poisons;connaître les poisons, leur utilisation et leur préparation.
historical_lore;Connaissances historiques;connaître les événements importants et les personnalités influentes des temps passés.
military_lore;Connaissances militaires;connaître la stratégie, la tactique et leurs applications les plus connues.
musical_lore;Connaissances musicales;connaître les traditions musicales et les chansons.
arcane_lore;Connaissances mystiques;connaître la magie, ses traditions et l’Immatériel.
religious_lore;Connaissances religieuses;connaître les traditions et pratiques religieuses, notamment celles de la Chantrie.
cryptography;Cryptographie;créer et déchiffrer des codes et des messages codés.
writing;Écriture;s’exprimer par écrit.
enchantment;Enchantement;comprendre les techniques permettant d’enchanter des objets magiques. Pour pouvoir enchanter soi-même des objets, il faut être soit un nain, soit un membre des Apaisés.
evaluation;Évaluation;déterminer la valeur de marchandises et d’objets d’art.
heraldry;Héraldique;connaître les blasons et les lignées régnantes.
engineering;Ingénierie;connaître les aspects pratiques de la construction, de l’architecture et de l’invention.
navigation;Orientation;planifier et suivre un itinéraire d’un lieu à un autre.
qun;Qun;connaître la philosophie du peuple qunari.
research;Recherches;mener une investigation systématique, généralement à l’aide de témoignages, d’archives et de livres.
healing;Soins;aider les blessés et les malades.